priority,rank,name,url,focus,feature,evidence,source,source_page
1088,O,demophorius,https://www.awwwards.com/sites/demophorius,motion,スクロール連動,Parallax,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1090,O,EmCell,https://www.awwwards.com/sites/emcell,motion,スクロール連動,Parallax,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1091,O,Transmissions,https://www.awwwards.com/sites/transmissions,motion,スクロール連動,Locomotive Scroll,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1094,O,Moooi - Defy Gravity,https://www.awwwards.com/sites/moooi-defy-gravity,motion,スクロール連動,Parallax / Scrolling,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1098,O,The Nifty  Portal,https://www.awwwards.com/sites/the-nifty-portal,motion,スクロール連動,Scrolling,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1104,O,Vaayu,https://www.awwwards.com/sites/vaayu,motion,スクロール連動,Scrolling,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1105,O,"365, A Year of Cartier",https://www.awwwards.com/sites/365-a-year-of-cartier,motion,スクロール連動,Scrolling,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1106,O,Opportunities for Our Avatars,https://www.awwwards.com/sites/opportunities-for-our-avatars,motion,スクロール連動,Scrolling,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1109,O,Engineered Floors,https://www.awwwards.com/sites/engineered-floors,motion,スクロール連動,Scrolling,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1112,O,Neondoor,https://www.awwwards.com/sites/neondoor,motion,スクロール連動,Scrolling,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1118,O,ARCR,https://www.awwwards.com/sites/arcr-1,motion,スクロール連動,Parallax,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1121,O,WE-ON,https://www.awwwards.com/sites/we-on,motion,スクロール連動,Locomotive Scroll / Parallax,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1124,O,Digital Curator,https://www.awwwards.com/sites/digital-curator,layout,スクロール連動,Parallax / Scrolling,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1128,O,MICA,https://www.awwwards.com/sites/mica,motion,スクロール連動,Locomotive Scroll / Scrolling,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=55
1129,O,Defund Tigray Genocide,https://www.awwwards.com/sites/defund-tigray-genocide,motion,スクロール連動,Locomotive Scroll / Scrolling,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=55
1136,O,monopo saigon,https://www.awwwards.com/sites/monopo-saigon,motion,スクロール連動,Scrolling,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=55
1141,O,Chirpley,https://www.awwwards.com/sites/chirpley,motion,スクロール連動,Parallax,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=55
1142,O,Aston Currency Management,https://www.awwwards.com/sites/aston-currency-management,motion,スクロール連動,Parallax,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=55
1143,O,Ideas Report 2021,https://www.awwwards.com/sites/ideas-report-2021,motion,スクロール連動,Scrolling,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=55
1144,O,SKINN BRANDING AGENCY,https://www.awwwards.com/sites/skinn-branding-agency,motion,スクロール連動,Parallax,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=55
1145,O,La puce à l'oreille,https://www.awwwards.com/sites/la-puce-a-loreille,motion,スクロール連動,Locomotive Scroll,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=55
1147,O,Poklonnaya 9,https://www.awwwards.com/sites/poklonnaya-9,motion,スクロール連動,Parallax,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=55
1149,O,Pienso,https://www.awwwards.com/sites/pienso,motion,スクロール連動,Locomotive Scroll / Parallax,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=55
1150,O,Elite Interior Design,https://www.awwwards.com/sites/elite-interior-design,motion,スクロール連動,Parallax,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=55
1152,O,Broadwick Live,https://www.awwwards.com/sites/broadwick-live,motion,スクロール連動,Locomotive Scroll / Scrolling,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=55
1155,O,Everyday Robots,https://www.awwwards.com/sites/everyday-robots,typography,スクロール連動,Locomotive Scroll,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=55
1159,P,Henri Heymans 2021 Portfolio,https://www.awwwards.com/sites/henri-heymans-2021-portfolio,motion,スクロール連動,Scrolling,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=56
1162,P,Your 2021 Neighbourly Impact,https://www.awwwards.com/sites/your-2021-neighbourly-impact,motion,スクロール連動,Scrolling,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=56
