priority,rank,name,url,focus,feature,evidence,source,source_page
1010,N,Kim Kneipp Folio,https://www.awwwards.com/sites/kim-kneipp-folio,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1027,N,Panic Studio,https://www.awwwards.com/sites/panic-studio,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1031,N,Erin Wesley,https://www.awwwards.com/sites/erin-wesley,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1048,N,Jacques Marie Mage,https://www.awwwards.com/sites/jacques-marie-mage,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1055,N,Nul,https://www.awwwards.com/sites/nul,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1063,N,Guillaume Tomasi,https://www.awwwards.com/sites/guillaume-tomasi-2,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1065,N,Welcome to the House of Gucci,https://www.awwwards.com/sites/welcome-to-the-house-of-gucci,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1069,N,KARAK,https://www.awwwards.com/sites/karak,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1091,O,Transmissions,https://www.awwwards.com/sites/transmissions,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1117,O,SteelWave,https://www.awwwards.com/sites/steelwave,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1124,O,Digital Curator,https://www.awwwards.com/sites/digital-curator,layout,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1127,O,Magical Reflections,https://www.awwwards.com/sites/magical-reflections,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=55
1140,O,Plus X digital showroom,https://www.awwwards.com/sites/plus-x-digital-showroom,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=55
1154,O,Azzerad Studios,https://www.awwwards.com/sites/azzerad-studios,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=55
1157,P,The Unconventional Gallery,https://www.awwwards.com/sites/the-unconventional-gallery,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=56
1164,P,Pablo Farias,https://www.awwwards.com/sites/pablo-farias,typography,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=56
1176,P,Dormeuil SS 2021,https://www.awwwards.com/sites/dormeuil-ss-2021,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=56
1183,P,Mammut Digital Flagship Store,https://www.awwwards.com/sites/mammut-digital-flagship-store,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=56
1193,P,Ranboo Fashion,https://www.awwwards.com/sites/ranboo-fashion-merch-site,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=57
1195,P,ETQ Amsterdam,https://www.awwwards.com/sites/etq-amsterdam-1,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=57
1208,P,Alba,https://www.awwwards.com/sites/alba,typography,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=57
1212,P,Sol’ace,https://www.awwwards.com/sites/solace-2,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=57
1232,P,Foam Talent 2021,https://www.awwwards.com/sites/foam-talent-2021,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=58
1246,Q,Sal Parasuco,https://www.awwwards.com/sites/sal-parasuco,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=58
1251,Q,Dima Kutsenko,https://www.awwwards.com/sites/dima-kutsenko,layout,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=59
1268,Q,Hoboken Yogi,https://www.awwwards.com/sites/hoboken-yogi,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=59
1271,Q,Rupert & Rothschild,https://www.awwwards.com/sites/rupert-rothschild,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=59
1309,Q,Von Heilig,https://www.awwwards.com/sites/von-heilig,typography,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=60
1319,R,MIRAMACHO,https://www.awwwards.com/sites/miramacho,typography,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=61
1324,R,Boston University Theatre 2021,https://www.awwwards.com/sites/boston-university-theatre-2021,layout,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=61
1327,R,Seventh Movement,https://www.awwwards.com/sites/seventh-movement,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=61
1341,R,Priestess,https://www.awwwards.com/sites/priestess,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=61
1344,R,Cristóbal Balenciaga Museum,https://www.awwwards.com/sites/cristobal-balenciaga-museum,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=62
1366,R,The MythBuster Challenge,https://www.awwwards.com/sites/the-mythbuster-challenge,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=62
1373,R,Colors combinations,https://www.awwwards.com/sites/colors-combinations,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=63
1379,R,Steven Taylor,https://www.awwwards.com/sites/steven-taylor,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=63
1385,R,Paul & Henriette,https://www.awwwards.com/sites/paul-henriette,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=63
1399,S,Ōmbia Studio,https://www.awwwards.com/sites/ombia-studio,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=63
1413,S,Bennett Tea,https://www.awwwards.com/sites/bennett-tea,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=64
1426,S,Visages du Rhône,https://www.awwwards.com/sites/visages-du-rhone,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=64
1433,S,Rhythm of Nature,https://www.awwwards.com/sites/rhythm-of-nature,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=64
1442,S,Marcus Eriksson,https://www.awwwards.com/sites/marcus-eriksson-1,layout,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=65
1445,S,Mank the Unmaking,https://www.awwwards.com/sites/mank-the-unmaking,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=65
1447,S,MABA,https://www.awwwards.com/sites/maba,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=65
1450,S,Bruno,https://www.awwwards.com/sites/bruno,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=65
1454,S,PRB Architects,https://www.awwwards.com/sites/prb-architects,typography,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=65
1460,S,Studio Malvah,https://www.awwwards.com/sites/studio-malvah,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=65
1465,T,Bonjour Paris,https://www.awwwards.com/sites/bonjour-paris,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=65
1468,T,WLDLGHT,https://www.awwwards.com/sites/wldlght,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=66
1470,T,Gunnar Freyr,https://www.awwwards.com/sites/gunnar-freyr,typography,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=66
1480,T,Public --- Domain,https://www.awwwards.com/sites/public-domain,ecommerce,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=66
1481,T,VERHOLY,https://www.awwwards.com/sites/verholy,motion,ギャラリー・閲覧UI,Gallery,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=66
