priority,rank,name,url,focus,source,source_page
2005,R,BASIC Culture Manual,https://www.awwwards.com/sites/basic-culture-manual,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2006,R,Patrick HENG - Portfolio,https://www.awwwards.com/sites/patrick-heng-portfolio,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2007,R,Mr. Leight,https://www.awwwards.com/sites/mr-leight,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2008,R,Chobani.com,https://www.awwwards.com/sites/chobani-com,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2009,R,GUCCI SS 18,https://www.awwwards.com/sites/gucci-ss-18,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2010,R,Stinkmoji,https://www.awwwards.com/sites/stinkmoji,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2011,R,Twotwentytwo,https://www.awwwards.com/sites/twotwentytwo,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2012,R,Julien Renvoye's Portfolio,https://www.awwwards.com/sites/julien-renvoyes-portfolio,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2013,R,Gallery of emerging species,https://www.awwwards.com/sites/gallery-of-emerging-species,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2014,R,Khenpo Sodargye,https://www.awwwards.com/sites/khenpo-sodargye,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2015,R,Shopskin,https://www.awwwards.com/sites/shopskin,ecommerce,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2016,R,"Blend, a Creative Agency.",https://www.awwwards.com/sites/blend-a-creative-agency,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2017,R,Varagon,https://www.awwwards.com/sites/varagon,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2018,R,50 Years of Charts,https://www.awwwards.com/sites/50-years-of-charts,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2019,R,yelvy,https://www.awwwards.com/sites/yelvy,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2020,R,PopCorn TV,https://www.awwwards.com/sites/popcorn-tv,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2021,R,Love Lost,https://www.awwwards.com/sites/love-lost,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2022,R,Robin Payot,https://www.awwwards.com/sites/robin-payot,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2023,R,BLUES DESIGN,https://www.awwwards.com/sites/blues-design,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2024,R,Fubiz Studio,https://www.awwwards.com/sites/fubiz-studio,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2025,R,RUYA DIGITAL,https://www.awwwards.com/sites/ruya-digital,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2026,R,Couro Azul,https://www.awwwards.com/sites/couro-azul,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2027,R,YouTube Rewind 2017,https://www.awwwards.com/sites/youtube-rewind-2017,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2028,R,Wed'ze - Lookbook Winter 17-18,https://www.awwwards.com/sites/wedze-lookbook-winter-17-18,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2029,R,Faraday Future,https://www.awwwards.com/sites/faraday-future,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2030,R,FAFSWAGVOGUE.COM,https://www.awwwards.com/sites/fafswagvogue-com,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2031,R,Teatr Lalka,https://www.awwwards.com/sites/teatr-lalka,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2032,R,OKKAPI,https://www.awwwards.com/sites/okkapi-agency,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=102
